city_id,description
2092098e-dae8-4b19-9899-8c83325352d8,Public maintenance & service facilities
2092098e-dae8-4b19-9899-8c83325352d8,Sexually oriented business
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Vehicle equipment repair
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - Washing and detailing
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, restricted"
2092098e-dae8-4b19-9899-8c83325352d8,Recycling centers - Large facilities
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution, & storage"
2092098e-dae8-4b19-9899-8c83325352d8,"Wholesaling, distribution, & storage, small-scale"
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facilities (7, 8, 9)"
2092098e-dae8-4b19-9899-8c83325352d8,Heliports
2092098e-dae8-4b19-9899-8c83325352d8,Transportation dispatch facility
2092098e-dae8-4b19-9899-8c83325352d8,Transportation terminals
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle storage (7, 8)"
2092098e-dae8-4b19-9899-8c83325352d8,Firearm sales
2092098e-dae8-4b19-9899-8c83325352d8,Detention facilities
2092098e-dae8-4b19-9899-8c83325352d8,"Industry, standard"
2092098e-dae8-4b19-9899-8c83325352d8,Trucking terminals
2092098e-dae8-4b19-9899-8c83325352d8,Caretaker quarters
2092098e-dae8-4b19-9899-8c83325352d8,Stadiums and arenas
2092098e-dae8-4b19-9899-8c83325352d8,Maintenance and service facilities
2092098e-dae8-4b19-9899-8c83325352d8,Recycling - Small collection facilities
2092098e-dae8-4b19-9899-8c83325352d8,Senior affordable housing
2092098e-dae8-4b19-9899-8c83325352d8,Conference centers
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle services - Washing/detailing, small scale"
2092098e-dae8-4b19-9899-8c83325352d8,Allowed Land Use: determined through the process of rezoning property
2092098e-dae8-4b19-9899-8c83325352d8,Allowed Land Use: determined by primary zoning district
2092098e-dae8-4b19-9899-8c83325352d8,Multi-family housing/urban housing
2092098e-dae8-4b19-9899-8c83325352d8,Colleges - nontraditional campus setting (13)
2092098e-dae8-4b19-9899-8c83325352d8,Commercial entertainment *
2092098e-dae8-4b19-9899-8c83325352d8,Commercial recreation - indoor *
2092098e-dae8-4b19-9899-8c83325352d8,Cultural institutions *
2092098e-dae8-4b19-9899-8c83325352d8,with columbarium
2092098e-dae8-4b19-9899-8c83325352d8,with temporary homeless shelter
2092098e-dae8-4b19-9899-8c83325352d8,Schools - specialized education and training (13)
2092098e-dae8-4b19-9899-8c83325352d8,Automated teller machines (ATM) *
2092098e-dae8-4b19-9899-8c83325352d8,"Banks, financial services * (13)"
2092098e-dae8-4b19-9899-8c83325352d8,bank with walk up services *
2092098e-dae8-4b19-9899-8c83325352d8,Offices - administrative business professional (13)
2092098e-dae8-4b19-9899-8c83325352d8,Offices - government (13)
2092098e-dae8-4b19-9899-8c83325352d8,Offices - medical (13)
2092098e-dae8-4b19-9899-8c83325352d8,Work/live units (13)
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - retail sales * (13)
2092098e-dae8-4b19-9899-8c83325352d8,Bars or taverns * (13)
2092098e-dae8-4b19-9899-8c83325352d8,with live entertainment *
2092098e-dae8-4b19-9899-8c83325352d8,Convenience stores *
2092098e-dae8-4b19-9899-8c83325352d8,Liquor stores * (13)
2092098e-dae8-4b19-9899-8c83325352d8,Pawnshops *
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants * (13)
2092098e-dae8-4b19-9899-8c83325352d8,"Restaurants, fast food * (13)"
2092098e-dae8-4b19-9899-8c83325352d8,"Restaurants, formula fast food * (13)"
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants with limited live entertainment * (13)
2092098e-dae8-4b19-9899-8c83325352d8,Restaurants with walk-up window *
2092098e-dae8-4b19-9899-8c83325352d8,Retail sales * (13)
2092098e-dae8-4b19-9899-8c83325352d8,Significant tobacco retailers * (13)
2092098e-dae8-4b19-9899-8c83325352d8,Vehicle services - sales and leasing - limited *
2092098e-dae8-4b19-9899-8c83325352d8,"Adult day-care, general"
2092098e-dae8-4b19-9899-8c83325352d8,"Adult day-care, limited"
2092098e-dae8-4b19-9899-8c83325352d8,Ambulance services (13)
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - grooming (13)
2092098e-dae8-4b19-9899-8c83325352d8,Animal shelters
2092098e-dae8-4b19-9899-8c83325352d8,Catering services (13)
2092098e-dae8-4b19-9899-8c83325352d8,"Child day-care, large care homes, 9 to 14 persons"
2092098e-dae8-4b19-9899-8c83325352d8,"Child day-care, small care homes, 1 to 8 persons"
2092098e-dae8-4b19-9899-8c83325352d8,Laboratories (13)
2092098e-dae8-4b19-9899-8c83325352d8,"Lodging - hotels, motels (13)"
2092098e-dae8-4b19-9899-8c83325352d8,Maintenance or repair services
2092098e-dae8-4b19-9899-8c83325352d8,Massage establishments
2092098e-dae8-4b19-9899-8c83325352d8,Personal improvement services *
2092098e-dae8-4b19-9899-8c83325352d8,Personal services *
2092098e-dae8-4b19-9899-8c83325352d8,Personal services restricted
2092098e-dae8-4b19-9899-8c83325352d8,"Printing and publishing, limited *"
2092098e-dae8-4b19-9899-8c83325352d8,"Vehicle services - washing and detailing, temporary"
2092098e-dae8-4b19-9899-8c83325352d8,Research and development - non-offices (13)
2092098e-dae8-4b19-9899-8c83325352d8,Alternative fuel/recharging facilities
2092098e-dae8-4b19-9899-8c83325352d8,Communications facility (13)
2092098e-dae8-4b19-9899-8c83325352d8,Commercial off-street parking
2092098e-dae8-4b19-9899-8c83325352d8,Transit terminal
2092098e-dae8-4b19-9899-8c83325352d8,"Wireless telecommunication facilities, minor"
2092098e-dae8-4b19-9899-8c83325352d8,Transit-oriented development
2092098e-dae8-4b19-9899-8c83325352d8,Heliport
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - boarding (13)
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - hospitals (13)
2092098e-dae8-4b19-9899-8c83325352d8,"Emergency shelters, limited"
2092098e-dae8-4b19-9899-8c83325352d8,Medical services - hospital
2092098e-dae8-4b19-9899-8c83325352d8,Sexually oriented businesses
2092098e-dae8-4b19-9899-8c83325352d8,Vehicles services - Vehicle/equipment repair
2092098e-dae8-4b19-9899-8c83325352d8,Accessory antenna arrays
2092098e-dae8-4b19-9899-8c83325352d8,"Communications facility (4, 7 ,8, 9)"
2092098e-dae8-4b19-9899-8c83325352d8,"Wireless telecommunication facilities, major"
2092098e-dae8-4b19-9899-8c83325352d8,Colleges - traditional campus setting (13)
2092098e-dae8-4b19-9899-8c83325352d8,Animal services - grooming  
2092098e-dae8-4b19-9899-8c83325352d8,Recycling - Small collection facility
2092098e-dae8-4b19-9899-8c83325352d8,Schools - specialized education and training 
